Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Infra-specific name]	Term Source REF	Term Accession Number	Characteristics[Line]	Term Source REF	Term Accession Number	Protocol REF	Characteristics[Rwness]	Term Source REF	Term Accession Number	Characteristics[Shape]	Term Source REF	Term Accession Number
source91	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 129			sample collection	6			r		
source92	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 13			sample collection	2			r		
source93	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 130			sample collection	6			w		
source94	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 131			sample collection	6			r		
source95	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 132			sample collection	2			w		
source96	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 133			sample collection	6			w		
source97	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 134			sample collection	6			w		
source98	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 135			sample collection	6			r		
source99	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 136			sample collection	6			w		
source100	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 140			sample collection	2			r		
source101	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 141			sample collection	6			w		
source102	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 142			sample collection	6			r		
source103	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 143			sample collection	6			r		
source104	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 144			sample collection	2			w		
source105	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 145			sample collection	6			w		
source106	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 146			sample collection	6			w		
source107	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 147			sample collection	6			w		
source108	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 148			sample collection	2			w		
source109	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 149			sample collection	6			w		
source110	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 15			sample collection	2			w		
source111	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 150			sample collection	2			w		
source112	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 151			sample collection	2			w		
source113	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 152			sample collection	2			w		
source114	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 153			sample collection	6			r		
source115	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 154			sample collection	2			w		
