nr.pol	powt	population	genotyp	l.k³	l.ziarn	waga z.	d³.k³ 20	d³.k³	lzzk	wzzk	ctn	plon (g)	wys	wyleg	data k³	data kw	rwness	shape
1010	I	MP	MP48	20	1090	40,8	148,5	7,43	54,5	2,04	37,43	400	70	0	15	20	6	r
1474	II	MP	MP48	20	1254	47,62	167	8,35	62,7	2,38	37,97	270	67	0	14	18	6	r
1759	III	MP	MP48	20	1115	43,75	159	7,95	55,75	2,19	39,24	335	70	0	15	18	6	r
1087	I	MP	MP49	20	1189	38,76	100	5	59,45	1,94	32,6	150	87	0	12	17	2	w
1252	II	MP	MP49	20	1200	39,53	91,5	4,58	60	1,98	32,94	200	84	0	14	18	2	w
1700	III	MP	MP49	20	1328	42,15	88	4,4	66,4	2,11	31,74	175	83	0	14	17	2	w
1004	I	MP	MP5	20	408	18,69	114	5,7	20,4	0,93	45,81	250	69	0	15	19	2	r
1438	II	MP	MP5	20	539	23,17	129	6,45	26,95	1,16	42,99	250	70	0	14	19	2	r
1725	III	MP	MP5	20	451	22,78	153	7,65	22,55	1,14	50,51	250	63	0	14	19	2	r
1166	I	MP	MP50	20	1163	33,71	159	7,95	58,15	1,69	28,99	320	69	0	18	20	6	r
1320	II	MP	MP50	20	922	24,72	163	8,15	46,1	1,24	26,81	300	66	0	14	18	6	r
1687	III	MP	MP50	20	1288	38,24	175,5	8,78	64,4	1,91	29,69	310	62	0	16	18	6	r
1169	I	MP	MP51	20	480	25,37	136	6,8	24	1,27	52,85	180	76	0	12	17	2	w
1308	II	MP	MP51	20	511	26,24	153	7,65	25,55	1,31	51,35	250	85	0	13	16	2	w
1615	III	MP	MP51	20	499	25,99	140	7	24,95	1,3	52,08	215	81	0	12	17	2	w
1078	I	MP	MP52	20	996	29,41	124	6,2	49,8	1,47	29,53	210	85	2	12	16	6	w
1283	II	MP	MP52	20	934	25,09	114	5,7	46,7	1,25	26,86	200	74	3	11	17	6	w
1582	III	MP	MP52	20	942	26	115	5,75	47,1	1,3	27,6	205	79	1	11	18	6	w
1176	I	MP	MP53	20	529	26,81	215	10,75	26,45	1,34	50,68	280	84	0	15	19	2	r
1319	II	MP	MP53	20	505	23,81	192	9,6	25,25	1,19	47,15	220	80	0	14	18	2	r
1599	III	MP	MP53	20	468	23,62	196	9,8	23,4	1,18	50,47	250	77	0	13	19	2	r
1032	I	MP	MP54	20	562	27,98	140	7	28,1	1,4	49,79	200	56	0	17	21	2	r
1416	II	MP	MP54	20	549	26,55	137,5	6,88	27,45	1,33	48,36	240	60	0	15	21	2	r
1777	III	MP	MP54	20	527	25,12	132	6,6	26,35	1,26	47,67	220	53	0	16	21	2	r
1151	I	MP	MP55	20	370	19,65	137,5	6,88	18,5	0,98	53,11	260	94	0	15	21	2	w
1272	II	MP	MP55	20	390	21,68	148	7,4	19,5	1,08	55,59	250	97	0	15	18	2	w
1578	III	MP	MP55	20	380	20,55	140	7	19	1,03	54,08	255	84	0	14	19	2	w
1027	I	MP	MP56	20	388	16,43	168	8,4	19,4	0,82	42,35	200	62	0	12	19	2	r
1494	II	MP	MP56	20	422	18,97	158	7,9	21,1	0,95	44,95	250	72	0	13	18	2	r
1675	III	MP	MP56	20	401	17,2	163	8,15	20,05	0,86	42,89	225	63	0	12	18	2	r
989	I	MP	MP57	20	530	27,78	148	7,4	26,5	1,39	52,42	250	71	0	15	19	2	r
1398	II	MP	MP57	20	522	26,61	143	7,15	26,1	1,33	50,98	320	73	0	15	21	2	r
1657	III	MP	MP57	20	501	25,41	145	7,25	25,05	1,27	50,72	285	56	0	16	22	2	r
1015	I	MP	MP58	20	435	19,79	116	5,8	21,75	0,99	45,49	300	65	0	14	19	2	r
1434	II	MP	MP58	20	434	19,76	139,5	6,98	21,7	0,99	45,53	240	63	0	15	19	2	r
1735	III	MP	MP58	19	410	18,83	130,5	6,87	21,58	0,99	45,93	250	66	0	13	18	2	r
1050	I	MP	MP59	20	482	23,56	177	8,85	24,1	1,18	48,88	300	72	0	14	18	2	r
1293	II	MP	MP59	20	416	23,77	167	8,35	20,8	1,19	57,14	250	76	0	12	18	2	r
1613	III	MP	MP59	20	409	19,08	158	7,9	20,45	0,95	46,65	275	67	0	13	18	2	r
1030	I	MP	MP6	20	365	18,04	139	6,95	18,25	0,9	49,42	250	59	0	13	17	2	r
1458	II	MP	MP6	20	332	16,48	136	6,8	16,6	0,82	49,64	190	67	0	13	18	2	r
